2024-11-18T10:15:32.123+0000: 1.234: [GC (Allocation Failure) 512K->256K(1024K), 0.0056789 secs]
2024-11-18T10:15:35.456+0000: 4.567: [GC (Allocation Failure) 768K->300K(1024K), 0.0071234 secs]
2024-11-18T10:15:40.789+0000: 9.890: [Full GC (Ergonomics) 900K->400K(1024K), 0.0456789 secs]
2024-11-18T10:15:45.111+0000: 14.112: [GC (Metadata GC Threshold) 850K->420K(1024K), 0.0065432 secs]
2024-11-18T10:15:50.222+0000: 19.223: [GC (Allocation Failure) 900K->450K(1024K), 0.0089123 secs]
2024-11-18T10:15:55.301+0000: 24.302: [GC (Allocation Failure) 700K->350K(1024K), 0.0067891 secs]
2024-11-18T10:16:00.412+0000: 29.413: [GC (Allocation Failure) 820K->410K(1024K), 0.0072345 secs]
2024-11-18T10:16:05.533+0000: 34.534: [GC (Metadata GC Threshold) 880K->430K(1024K), 0.0069987 secs]
2024-11-18T10:16:10.644+0000: 39.645: [Full GC (Ergonomics) 950K->480K(1024K), 0.0523456 secs]
2024-11-18T10:16:15.755+0000: 44.756: [GC (Allocation Failure) 760K->380K(1024K), 0.0071123 secs]
2024-11-18T10:16:20.866+0000: 49.867: [GC (Allocation Failure) 810K->405K(1024K), 0.0069981 secs]
2024-11-18T10:16:25.977+0000: 54.978: [GC (Metadata GC Threshold) 870K->420K(1024K), 0.0065439 secs]
2024-11-18T10:16:31.088+0000: 60.089: [GC (Allocation Failure) 900K->450K(1024K), 0.0083456 secs]
2024-11-18T10:16:36.199+0000: 65.200: [GC (Allocation Failure) 780K->390K(1024K), 0.0072341 secs]
2024-11-18T10:16:41.310+0000: 70.311: [Full GC (Ergonomics) 920K->460K(1024K), 0.0498765 secs]
2024-11-18T10:16:46.421+0000: 75.422: [GC (Allocation Failure) 740K->370K(1024K), 0.0067894 secs]
2024-11-18T10:16:51.532+0000: 80.533: [GC (Metadata GC Threshold) 860K->430K(1024K), 0.0064321 secs]
2024-11-18T10:16:56.643+0000: 85.644: [GC (Allocation Failure) 900K->450K(1024K), 0.0081234 secs]
2024-11-18T10:17:01.754+0000: 90.755: [GC (Allocation Failure) 780K->390K(1024K), 0.0070012 secs]
2024-11-18T10:17:06.865+0000: 95.866: [Full GC (Ergonomics) 940K->470K(1024K), 0.0512345 secs]
2024-11-18T10:17:11.976+0000: 100.977: [GC (Allocation Failure) 720K->360K(1024K), 0.0067890 secs]
2024-11-18T10:17:17.087+0000: 106.088: [GC (Allocation Failure) 830K->415K(1024K), 0.0073456 secs]
2024-11-18T10:17:22.198+0000: 111.199: [GC (Metadata GC Threshold) 880K->440K(1024K), 0.0065430 secs]
2024-11-18T10:17:27.309+0000: 116.310: [GC (Allocation Failure) 910K->455K(1024K), 0.0082345 secs]
2024-11-18T10:17:32.420+0000: 121.421: [GC (Allocation Failure) 760K->380K(1024K), 0.0071129 secs]
2024-11-18T10:17:37.531+0000: 126.532: [Full GC (Ergonomics) 960K->480K(1024K), 0.0534567 secs]
2024-11-18T10:17:42.642+0000: 131.643: [GC (Allocation Failure) 740K->370K(1024K), 0.0067893 secs]
2024-11-18T10:17:47.753+0000: 136.754: [GC (Metadata GC Threshold) 870K->435K(1024K), 0.0065438 secs]
